G514	ἄξιος
G3341	μετάνοια
G1380	δοκέω
G1410	δύναμαι
G3037	λίθος
G2235	ἤδη
G513	ἀξίνη
G4491	ῥίζα
G1186	δένδρον
G2749	κεῖμαι
G2570	καλός
G1581	ἐκκόπτω
G4442	πῦρ
G906	βάλλω
G3303	μέν
G5204	ὕδωρ
G3694	ὀπίσω
G2478	ἰσχυρός
G2425	ἱκανός
G5266	ὑπόδημα
G941	βαστάζω
G4425	πτύον
G5495	χείρ
G1245	διακαθαρίζω
G257	ἅλων
G4621	σῖτος
G596	ἀποθήκη
G892	ἄχυρον
G2618	κατακαίω
G762	ἄσβεστος
G1254	διακωλύω
G5532	χρεία
G611	ἀποκρίνομαι
G863	ἀφίημι
G737	ἄρτι
G4241	πρέπω
G1343	δικαιοσύνη
G305	ἀναβαίνω
G2597	καταβαίνω
G5616	ὡσεί
G4058	περιστερά
G27	ἀγαπητός
G2106	εὐδοκέω
G321	ἀνάγω
G3985	πειράζω
G1228	διάβολος
G3522	νηστεύω
G5062	τεσσεράκοντα
G5305	ὕστερος
G3983	πεινάω
G4334	προσέρχομαι
G1487	εἰ
G740	ἄρτος
G3441	μόνος
G2198	ζάω
G444	ἄνθρωπος
G235	ἀλλά
G4487	ῥῆμα
G4750	στόμα
G4419	πτερύγιον
G2411	ἱερός
G4572	σεαυτοῦ
G2736	κάτω
G1781	ἐντέλλομαι
G142	αἴρω
G3379	μήποτε
G4350	προσκόπτω
G4228	πούς
G5346	φημί
G3825	πάλιν
G1598	ἐκπειράζω
G3735	ὄρος
G5308	ὑψηλός
G1166	δείκνυμι
G2889	κόσμος
G1391	δόξα
G1325	δίδωμι
G1437	ἐάν
G5217	ὑπάγω
G4567	Σατανᾶς
G3000	λατρεύω
G1247	διακονέω
G3860	παραδίδωμι
G2641	καταλείπω
G3478	Ναζαρά
G2584	Καφαρναούμ
G3864	παραθαλάσσιος
G2194	Ζαβουλών
G3508	Νεφθαλίμ
G2281	θάλασσα
G4008	πέραν
G1484	ἔθνος
G2521	κάθημαι
G4655	σκοτία
G5457	φῶς
G4639	σκιά
G2288	θάνατος
G393	ἀνατέλλω
G756	ἄρχω
G4043	περιπατέω
G1417	δύο
G4613	Σίμων
G4074	Πέτρος
G406	Ἀνδρέας
G293	ἀμφίβληστρον
G231	ἁλιεύς
G1205	δεῦτε
G2112	εὐθέως
G1350	δίκτυον
G190	ἀκολουθέω
G4260	προβαίνω
G1564	ἐκεῖθεν
G2385	Ἰάκωβος
G2199	Ζεβεδαῖος
G4143	πλοῖον
G2675	καταρτίζω
G4013	περιάγω
G1321	διδάσκω
G4864	συναγωγή
G2098	εὐαγγέλιον
G2323	θεραπεύω
G3554	νόσος
G3119	μαλακία
G189	ἀκοή
G4947	Συρία
G2560	κακῶς
G4164	ποικίλος
G931	βάσανος
G4912	συνέχω
G1139	δαιμονίζομαι
G4583	σεληνιάζομαι
G3885	παραλυτικός
G3793	ὄχλος
G1179	Δεκάπολις
G2523	καθίζω
G3101	μαθητής
G3107	μακάριος
G4434	πτωχός
G3996	πενθέω
G4239	πραΰς
G2816	κληρονομέω
G1372	διψάω
G5526	χορτάζω
